channel_name,video_id,title
Arxiv Insights,JgvyzIkgxF0,An introduction to Reinforcement Learning
Arxiv Insights,9zKuYvjFFS8,Variational Autoencoders
Arxiv Insights,4rFOkpI0Lcg,'How neural networks learn' - Part II: Adversarial Examples
Arxiv Insights,McgxRxi2Jqo,'How neural networks learn' - Part I: Feature Visualization
Arxiv Insights,Ol0-c9OE3VQ,Why humans learn so much faster than AI
Arxiv Insights,MgowR4pq3e8,AlphaGo - How AI mastered the hardest boardgame in history
DeepMind,R-5DpDyzRV8,The Great Voyage - An AI generated film inspired by vintage photography
DeepMind,1O27hf17BaY,A whistle stop tour of AI creation with Paige Bailey
DeepMind,WImguouLsmw,Could digital twins – virtual replicas of humans or organs – accelerate medical research? 🏥
DeepMind,vIIIau06wGo,The nature of AI: solving the planet's data gap with Drew Purves
DeepMind,XpIMuCeEtSk,A quest for a cure: AI drug design with Isomorphic Labs
DeepMind,IwglW_hIL_g,Gemini 2.5 Pro Deep Think Demo | Competitive coding problem
DeepMind,Rgwty6dGsYI,Redefining robotics with Carolina Parada
DeepMind,mCFMn0UkRt0,Veo 3 demo | Sailor and the sea
DeepMind,vv6Ryg5iyh8,Veo 3 demo | Owl and badger
DeepMind,vEP4GCijXXo,Veo 3 demo | Duck interrogation
DeepMind,QYnJ3qJ5qJQ,Veo 3 demo | Dialog
DeepMind,SPF4MGL7K5I,Veo 3 demo | Off-road rally
DeepMind,KhcwvoJiP3I,Veo 3 demo | Magical origami
DeepMind,ffRaD7sY0TQ,Veo 3 demo | Irish coast
DeepMind,tc00I7rtU2s,Veo 3 demo | Sweet typing
